username,category,reserved_reason,reservation_policy,source_label,priority,is_active,requires_identity_verification
americanexpressofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
anthropic,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
anthropicofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
apple,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
appleofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
appletv,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
appletvofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
associatedpress,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
associatedpressofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
att,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
attofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
audi,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
audiofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
autozone,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
autozoneofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
aws,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
awsofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
balenciaga,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
balenciagaofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
bankofamerica,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
bankofamericaofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
bentley,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
bentleyofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
berkshirehathaway,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
berkshirehathawayofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
bestbuy,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
bestbuyofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
binance,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
binanceofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
blockofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
bloomberg,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
bloombergofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
bmw,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
bmwofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
bny,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
bnyofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
boeing,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
boeingofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
booking,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
bookingofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
broadcom,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
broadcomofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
burberry,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
burberryofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
burgerking,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
burgerkingofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
burlington,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
burlingtonofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
bytedance,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
bytedanceofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
cadillac,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
cadillacofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
calvinklein,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
calvinkleinofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
canva,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
canvaofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
capitalone,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
capitaloneofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
cardinalhealth,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
cardinalhealthofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
carmax,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
carmaxofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
cartier,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
cartierofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
carvana,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
carvanaofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
cashappofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
caterpillar,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
caterpillarofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
cbs,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
cbsofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
cencora,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
cencoraofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
centene,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
centeneofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
chanel,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
chanelofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
chartercommunications,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
chartercommunicationsofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
chase,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
chaseofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
chevrolet,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
chevroletofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
chevron,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
chevronofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
chickfila,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
chickfilaofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
chipotle,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
chipotleofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
cigna,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
cignaofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
cisco,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
ciscoofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
citi,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
citigroup,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
citigroupofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
citiofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
cloudflare,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
cloudflareofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
cnn,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
cnnofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
coach,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
coachofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
cocacola,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
cocacolaofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
coinbase,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
coinbaseofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
columbiapictures,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
columbiapicturesofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
comcast,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
comcastofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
conocophillips,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
conocophillipsofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
costco,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
costcoofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
crowdstrike,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
crowdstrikeofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
csx,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
csxofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
cvshealth,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
cvshealthofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
datadog,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
datadogofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
deere,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
deereofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
dell,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
dellofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
deltaairlines,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
deltaairlinesofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
dhl,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
dhlofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
dior,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
diorofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
discord,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
discordofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
discoverofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
disney,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
disneyofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
docusign,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
docusignofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
dollargeneral,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
dollargeneralofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
dollartree,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
dollartreeofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
dominionenergy,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
dominionenergyofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
dominos,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
dominosofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
dow,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
dowofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
dropbox,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
dropboxofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
drpepper,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
drpepperofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
dukeenergy,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
dukeenergyofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
dunkin,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
dunkinofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
dupont,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
dupontofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
ebay,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
ebayofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
electronicarts,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
electronicartsofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
elevancehealth,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
elevancehealthofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
elililly,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
elilillyofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
energytransfer,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
energytransferofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
enterpriseproducts,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
enterpriseproductsofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
epicgames,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
epicgamesofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
espn,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
espnofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
etsy,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
etsyofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
expedia,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
expediaofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
exxonmobil,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
exxonmobilofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
facebook,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
facebookofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
fanniemae,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
fanniemaeofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
fedex,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
fedexofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
